date,OT
2024/3/20 19:30,3791
2024/3/20 19:45,4182
2024/3/20 20:00,4727
2024/3/20 20:15,4763
2024/3/20 20:30,4453
2024/3/20 20:45,4275
2024/3/20 21:00,4352
2024/3/20 21:15,4121
2024/3/20 21:30,4669.9
2024/3/20 21:45,4655
2024/3/20 22:00,4738
2024/3/20 22:15,5677
2024/3/20 22:30,3621.1
2024/3/20 22:45,2403
2024/3/20 23:00,2754
2024/3/20 23:15,4115
2024/3/20 23:30,2780
2024/3/20 23:45,3526.1
2024/3/21 0:00,1821
2024/3/21 0:15,2260
2024/3/21 0:30,2794.9
2024/3/21 0:45,1649
2024/3/21 1:00,2417
2024/3/21 1:15,1751
2024/3/21 1:30,1942
2024/3/21 1:45,911
2024/3/21 2:00,787
2024/3/21 2:15,1042.2
2024/3/21 2:30,1042
2024/3/21 2:45,1194
2024/3/21 3:00,884.8
2024/3/21 3:15,1391
2024/3/21 3:30,1144
2024/3/21 3:45,1057
2024/3/21 4:00,1523
2024/3/21 4:15,2286
2024/3/21 4:30,2651
2024/3/21 4:45,2848
2024/3/21 5:00,2508
2024/3/21 5:15,1607.9
2024/3/21 5:30,1400
2024/3/21 5:45,1418
2024/3/21 6:00,1293
2024/3/21 6:15,1449
2024/3/21 6:30,1513
2024/3/21 6:45,1129
2024/3/21 7:00,998
2024/3/21 7:15,1439
2024/3/21 7:30,1820
2024/3/21 7:45,2170
2024/3/21 8:00,1442
2024/3/21 8:15,1697
2024/3/21 8:30,1408
2024/3/21 8:45,1606
2024/3/21 9:00,2053.9
2024/3/21 9:15,2388
2024/3/21 9:30,2612
2024/3/21 9:45,2935
2024/3/21 10:00,2841
2024/3/21 10:15,2286
2024/3/21 10:30,2273
2024/3/21 10:45,2220
2024/3/21 11:00,1970
2024/3/21 11:15,1999
2024/3/21 11:30,1309
2024/3/21 11:45,1445
2024/3/21 12:00,1282
2024/3/21 12:15,1555
2024/3/21 12:30,1347
2024/3/21 12:45,1626
2024/3/21 13:00,1943
2024/3/21 13:15,1618
2024/3/21 13:30,1427
2024/3/21 13:45,1228
2024/3/21 14:00,1152
2024/3/21 14:15,1055
2024/3/21 14:30,1328
2024/3/21 14:45,1317
2024/3/21 15:00,1403
2024/3/21 15:15,1281
2024/3/21 15:30,139
2024/3/21 15:45,1271
2024/3/21 16:00,1028
2024/3/21 16:15,1046
2024/3/21 16:30,1153
